方法,round,类别组,普通提案margin变化乘1e4,修正margin变化乘1e4,提交A净margin变化乘1e4,分类LA修正变化_类均衡,功能权重份额,CP显式样本权重份额
Full-CP μ1,74,Medium35,0.10359918641292475,-0.06641402066725828,0.03718516574566648,0.0013147725391489571,0.3873659226956079,0.15838480547245126
Full-CP μ1,74,Few30,-0.014642540293726893,0.015162129734363707,0.000519589440636841,-0.0021576934942453534,0.15187952759151813,0.028118373607867397
Full-CP μ1,75,Head20,0.6143295672353871,-0.54523547367906,0.06909409355632684,0.0011938720688567156,0.236930471190135,0.6133493087909301
Full-CP μ1,75,Middle60,0.016637448489261727,0.05797381281613305,0.07461126130539478,0.000812640528145094,0.7034330582246184,0.3725454003215418
Full-CP μ1,75,Tail20,0.013334435546615462,-0.005897964971760929,0.007436470574854563,-0.002780907273797008,0.05963650766352657,0.014105282643868122
Full-CP μ1,75,Many35,0.2903033072254198,-0.16576081547672114,0.12454249174869866,0.0010733144024307416,0.46903856821882073,0.8134968126760214
Full-CP μ1,75,Medium35,0.10726607123296363,-0.06698121318464492,0.040284858048318786,0.0013406343772681651,0.3874047397694085,0.15838480547245126
Full-CP μ1,75,Few30,-0.01211337603492228,0.020057699969979085,0.007944323935056802,-0.002249015989985399,0.1435567290900508,0.028118373607867397
Full-CP μ1,76,Head20,0.6072747383161647,-0.5115765956286598,0.09569814268750493,0.0011315192807856158,0.23995338076201733,0.6133493087909301
Full-CP μ1,76,Middle60,0.008107637218587814,0.0571469151167924,0.0652545523353802,0.0007557061435546393,0.7026935744506773,0.3725454003215418
Full-CP μ1,76,Tail20,0.011965221104522547,-0.004060791009881817,0.007904430094640699,-0.002628876738599502,0.057353085998329334,0.014105282643868122
Full-CP μ1,76,Many35,0.2826182510847025,-0.15438929320288416,0.1282289578818183,0.001011807200506596,0.46545640102704056,0.8134968126760214
Full-CP μ1,76,Medium35,0.10108988586524481,-0.06311081017208749,0.03797907569315727,0.0012626019755725539,0.3915926345362095,0.15838480547245126
Full-CP μ1,76,Few30,-0.018617579057304684,0.024285693078690676,0.005668114021385986,-0.00214030339019232,0.14295100564777385,0.028118373607867397
Full-CP μ1,77,Head20,0.6337062396008831,-0.5264582946330175,0.10724794496786566,0.0011795471702546376,0.24174068441789132,0.6133493087909301
Full-CP μ1,77,Middle60,0.012127577303585746,0.05811248927107432,0.07024006657466009,0.0007900752695245025,0.6967838455311721,0.3725454003215418
Full-CP μ1,77,Tail20,0.010605429997667665,-0.00569467277576526,0.004910757221902408,-0.0027444867667509244,0.06147548199805897,0.014105282643868122
Full-CP μ1,77,Many35,0.2967266622858365,-0.15834740918880713,0.1383792530970294,0.0010516078888556345,0.46334725159977097,0.8134968126760214
Full-CP μ1,77,Medium35,0.11088286493684714,-0.07085836623421697,0.04002449870263019,0.0013480129363552702,0.3893596727430122,0.15838480547245126
