分组,实验,编号,协议组,划分,seed,Overall81_100,Head20_81_100,Middle60_81_100,Tail20_81_100,Many81_100,Medium81_100,Few81_100,Tail峰值,峰值轮,Tail最后,最后记录轮,峰值到最后回落pp,说明,原始路径
5 B辅助增强,sfra_full-cp_b_transfer lambda10_mu1_protocol42_b_lr0.3_probe0.1_reg0.001,R5e75471ac,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.6685,76.08500000000001,68.76,70.97749999999999,73.12714285714286,68.66,70.14333333333333,71.6,56,70.65,100,0.9499999999999886,,output/sfra_b_transfer_run2_analysis/sfra_b_transfer_run2/seed42/client-longtail/full-cp/lambda10_mu1_protocol42_b_lr0.3_probe0.1_reg0.001
4 A效果与消融,sfra_full-cp lambda10_mu0.3_protocol42,Rb3ae9e611,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.59,76.05,68.61833333333333,71.045,73.08285714285714,68.45714285714286,70.17,71.6,63,70.75,100,0.8499999999999943,,output/sfra_cp_analysis/sfra_cp/seed42/client-longtail/full-cp/lambda10_mu0.3_protocol42
4 A效果与消融,sfra_full-cp lambda10_mu1_protocol42,R29b405139,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.63300000000001,76.10499999999999,68.70833333333334,70.935,73.13142857142857,68.60142857142857,70.08833333333334,71.65,57,70.65,100,1.0,,output/sfra_cp_analysis/sfra_cp/seed42/client-longtail/full-cp/lambda10_mu1_protocol42
4 A效果与消融,sfra_full-cp lambda10_mu3_protocol42,Ra116c9874,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.72200000000001,76.215,68.975,70.47,73.28999999999999,69.01,69.72333333333333,71.6,52,69.95,100,1.6499999999999915,,output/sfra_cp_analysis/sfra_cp/seed42/client-longtail/full-cp/lambda10_mu3_protocol42
4 A效果与消融,sfra_flat-cp lambda10_mu1_protocol42_fast,R2026b9a85,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.7125,76.175,69.11083333333333,70.05499999999999,73.2357142857143,69.31,69.405,71.65,52,69.55,100,2.1000000000000085,,output/sfra_cp_analysis_new/sfra_cp/seed42/client-longtail/flat-cp/lambda10_mu1_protocol42_fast
4 A效果与消融,sfra_current lambda10_protocol42,R5f5e239d9,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.861,76.75,69.53083333333333,68.9625,73.84857142857143,69.94285714285715,68.44666666666667,71.8,48,68.55,100,3.25,Current无CP不能替代Current-CP,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/current/lambda10_protocol42
4 A效果与消融,sfra_flat lambda10_protocol42,R8b135d778,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.7005,76.1575,69.06,70.16499999999999,73.20285714285714,69.22142857142856,69.50666666666667,71.6,50,69.65,100,1.9499999999999886,,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/flat/lambda10_protocol42
4 A效果与消融,sfra_full lambda10_protocol42,R23269e0bb,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.565,76.025,68.57583333333334,71.0725,73.05571428571429,68.39,70.19666666666667,71.55,64,70.85,100,0.7000000000000028,,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/full/lambda10_protocol42
4 A效果与消融,sfra_full lambda1_protocol42,Rc28294125,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.88300000000001,76.75,69.57833333333333,68.92999999999999,73.85714285714286,69.97999999999999,68.46666666666667,71.8,48,68.6,100,3.200000000000003,,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/full/lambda1_protocol42
4 A效果与消融,sfra_full lambda3_protocol42,Rff2ff9082,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.7975,76.5025,69.37,69.375,73.57285714285715,69.69428571428571,68.84666666666666,71.75,49,68.95,100,2.799999999999997,,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/full/lambda3_protocol42
