run_id,round,overall,tail,nontail,head,middle,many,medium,few
Re4a3a6cc1,77,67.53,67.85,67.45,76.55,64.41666666666667,72.45714285714286,64.25714285714285,65.6
Re4a3a6cc1,78,67.54,67.9,67.45,76.6,64.4,72.54285714285714,64.17142857142858,65.63333333333334
Re4a3a6cc1,79,67.56,67.9,67.475,76.75,64.38333333333334,72.62857142857143,64.14285714285714,65.63333333333334
Re4a3a6cc1,80,67.57,67.9,67.4875,76.8,64.38333333333334,72.65714285714286,64.11428571428571,65.66666666666667
Re4a3a6cc1,81,67.59,67.95,67.5,76.9,64.36666666666666,72.74285714285715,64.08571428571429,65.66666666666667
Re4a3a6cc1,82,67.59,67.95,67.5,77.0,64.33333333333333,72.77142857142857,64.11428571428571,65.6
Re4a3a6cc1,83,67.63,68.0,67.5375,77.0,64.38333333333334,72.82857142857142,64.14285714285714,65.63333333333334
Re4a3a6cc1,84,67.66,68.05,67.5625,77.05,64.4,72.88571428571429,64.14285714285714,65.66666666666667
Re4a3a6cc1,85,67.62,67.95,67.5375,77.1,64.35,72.88571428571429,64.08571428571429,65.6
Re4a3a6cc1,86,67.66,67.9,67.6,77.25,64.38333333333334,73.02857142857142,64.08571428571429,65.56666666666666
Re4a3a6cc1,87,67.69,67.9,67.6375,77.3,64.41666666666667,73.14285714285714,64.08571428571429,65.53333333333333
Re4a3a6cc1,88,67.71,67.85,67.675,77.4,64.43333333333334,73.25714285714285,64.08571428571429,65.46666666666667
Re4a3a6cc1,89,67.7,67.75,67.6875,77.45,64.43333333333334,73.31428571428572,64.05714285714286,65.4
Re4a3a6cc1,90,67.7,67.7,67.7,77.5,64.43333333333334,73.34285714285714,64.08571428571429,65.33333333333333
Re4a3a6cc1,91,67.74,67.65,67.7625,77.55,64.5,73.42857142857143,64.14285714285714,65.3
Re4a3a6cc1,92,67.75,67.65,67.775,77.55,64.51666666666667,73.42857142857143,64.17142857142858,65.3
Re4a3a6cc1,93,67.73,67.65,67.75,77.55,64.48333333333333,73.4,64.14285714285714,65.3
Re4a3a6cc1,94,67.76,67.65,67.7875,77.65,64.5,73.45714285714286,64.2,65.26666666666667
Re4a3a6cc1,95,67.72,67.55,67.7625,77.7,64.45,73.42857142857143,64.2,65.16666666666667
Re4a3a6cc1,96,67.72,67.55,67.7625,77.75,64.43333333333334,73.48571428571428,64.17142857142858,65.13333333333334
Re4a3a6cc1,97,67.74,67.55,67.7875,77.75,64.46666666666667,73.51428571428572,64.22857142857143,65.1
Re4a3a6cc1,98,67.72,67.5,67.775,77.75,64.45,73.51428571428572,64.2,65.06666666666666
Re4a3a6cc1,99,67.75,67.55,67.8,77.8,64.46666666666667,73.57142857142857,64.2,65.1
Re4a3a6cc1,100,67.77,67.55,67.825,77.8,64.5,73.6,64.22857142857143,65.1
Rc521cdbcf,0,64.95,66.35,64.6,67.7,63.56666666666667,65.45714285714286,64.45714285714286,64.93333333333334
Rc521cdbcf,1,64.98,66.4,64.625,67.85,63.55,65.6,64.4,64.93333333333334
Rc521cdbcf,2,65.06,66.45,64.7125,68.1,63.583333333333336,65.88571428571429,64.31428571428572,64.96666666666667
Rc521cdbcf,3,65.06,66.4,64.725,68.1,63.6,65.91428571428571,64.25714285714285,65.0
Rc521cdbcf,4,65.1,66.4,64.775,68.3,63.6,66.0,64.25714285714285,65.03333333333333
Rc521cdbcf,5,65.17,66.45,64.85,68.55,63.61666666666667,66.14285714285714,64.25714285714285,65.1
Rc521cdbcf,6,65.34,66.7,65.0,68.85,63.71666666666667,66.42857142857143,64.34285714285714,65.23333333333333
Rc521cdbcf,7,65.44,66.8,65.1,69.15,63.75,66.57142857142857,64.4,65.33333333333333
Rc521cdbcf,8,65.62,67.0,65.275,69.3,63.93333333333333,66.82857142857142,64.45714285714286,65.56666666666666
Rc521cdbcf,9,65.69,67.05,65.35,69.5,63.96666666666667,66.94285714285714,64.48571428571428,65.63333333333334
Rc521cdbcf,10,65.96,67.55,65.5625,70.0,64.08333333333333,67.51428571428572,64.42857142857143,65.93333333333334
Rc521cdbcf,11,66.04,67.6,65.65,70.15,64.15,67.6,64.42857142857143,66.1
Rc521cdbcf,12,66.14,67.65,65.7625,70.35,64.23333333333333,67.85714285714286,64.42857142857143,66.13333333333334
Rc521cdbcf,13,66.27,67.75,65.9,70.55,64.35,68.08571428571429,64.42857142857143,66.3
Rc521cdbcf,14,66.27,67.75,65.9,70.6,64.33333333333333,68.08571428571429,64.45714285714286,66.26666666666667
Rc521cdbcf,15,66.34,67.8,65.975,70.8,64.36666666666666,68.22857142857143,64.51428571428572,66.26666666666667
Rc521cdbcf,16,66.39,67.95,66.0,70.95,64.35,68.28571428571429,64.54285714285714,66.33333333333333
Rc521cdbcf,17,66.5,68.0,66.125,71.15,64.45,68.48571428571428,64.57142857142857,66.43333333333334
Rc521cdbcf,18,66.53,68.05,66.15,71.25,64.45,68.65714285714286,64.45714285714286,66.46666666666667
Rc521cdbcf,19,66.59,68.1,66.2125,71.35,64.5,68.77142857142857,64.45714285714286,66.53333333333333
Rc521cdbcf,20,66.94,68.2,66.625,72.75,64.58333333333333,69.77142857142857,64.37142857142857,66.63333333333334
Rc521cdbcf,21,67.04,68.25,66.7375,72.95,64.66666666666667,69.97142857142858,64.4,66.7
Rc521cdbcf,22,67.05,68.15,66.775,73.3,64.6,70.22857142857143,64.25714285714285,66.6
Rc521cdbcf,23,67.1,68.2,66.825,73.6,64.56666666666666,70.42857142857143,64.22857142857143,66.56666666666666
Rc521cdbcf,24,67.18,68.15,66.9375,73.8,64.65,70.62857142857143,64.22857142857143,66.6
Rc521cdbcf,25,67.16,68.05,66.9375,73.9,64.61666666666666,70.65714285714286,64.2,66.53333333333333
Rc521cdbcf,26,67.16,67.95,66.9625,74.05,64.6,70.65714285714286,64.22857142857143,66.5
Rc521cdbcf,27,67.24,68.0,67.05,74.4,64.6,70.88571428571429,64.2,66.53333333333333
Rc521cdbcf,28,67.34,68.2,67.125,74.7,64.6,71.05714285714286,64.22857142857143,66.63333333333334
Rc521cdbcf,29,67.4,68.15,67.2125,75.0,64.61666666666666,71.25714285714285,64.22857142857143,66.6
Rc521cdbcf,30,67.53,68.45,67.3,76.25,64.31666666666666,72.14285714285714,64.05714285714286,66.2
