round,group,token_count,supported_token_count,unsupported_token_count,class_count,supported_class_count,averaging,supported_fraction,nonholder_exists_given_supported,nonholder_positive_share_given_supported,nonholder_candidate_share_given_supported
4,non_tail80,1443,1033,410,80,77,token_equal,0.7158697158697158,0.9970958373668926,0.27511302027937434,0.33736689254598257
4,non_tail80,1443,1033,410,80,77,class_equal,0.6929286856561936,0.9918929555293191,0.3308193533055792,0.3926406926406927
5,all,1516,1080,436,100,96,token_equal,0.712401055408971,0.9962962962962963,0.3069444177356781,0.3630555555555556
5,all,1516,1080,436,100,96,class_equal,0.6911889151206151,0.9929108796296297,0.45019846252480683,0.48854166666666665
5,tail20,73,50,23,20,19,token_equal,0.684931506849315,1.0,0.9247345634456484,0.872
5,tail20,73,50,23,20,19,class_equal,0.6875,1.0,0.9277687088301251,0.8771929824561404
5,non_tail80,1443,1030,413,80,77,token_equal,0.7137907137907138,0.996116504854369,0.27695460483713585,0.3383495145631068
5,non_tail80,1443,1030,413,80,77,class_equal,0.692111143900769,0.9911616161616161,0.33235645369622174,0.3926406926406927
6,all,1516,1075,441,100,96,token_equal,0.7091029023746702,0.9972093023255814,0.30777740104425005,0.36291472868217056
6,all,1516,1075,441,100,96,class_equal,0.6880896047709986,0.9956597222222222,0.4521453271528406,0.48854166666666665
6,tail20,73,50,23,20,19,token_equal,0.684931506849315,1.0,0.9241437741441704,0.872
6,tail20,73,50,23,20,19,class_equal,0.6875,1.0,0.9273910281765857,0.8771929824561404
6,non_tail80,1443,1025,418,80,77,token_equal,0.7103257103257103,0.9970731707317073,0.27771074869791246,0.3380813008130081
6,non_tail80,1443,1025,418,80,77,class_equal,0.6882370059637484,0.9945887445887446,0.3348769074197086,0.3926406926406927
7,all,1516,1075,441,100,96,token_equal,0.7091029023746702,0.9944186046511628,0.3088560918347796,0.36282170542635656
7,all,1516,1075,441,100,96,class_equal,0.6868265067579006,0.9924235501949318,0.4516624066757469,0.48854166666666665
7,tail20,73,49,24,20,19,token_equal,0.6712328767123288,1.0,0.9227316413836356,0.872108843537415
7,tail20,73,49,24,20,19,class_equal,0.675,1.0,0.9249891169411828,0.8771929824561404
7,non_tail80,1443,1026,417,80,77,token_equal,0.7110187110187111,0.9941520467836257,0.2795384486302046,0.33849902534113063
7,non_tail80,1443,1026,417,80,77,class_equal,0.6897831334473757,0.9905540366066682,0.3348675041427173,0.3926406926406926
8,all,1516,1064,452,100,97,token_equal,0.7018469656992085,0.993421052631579,0.3075277448538929,0.3630012531328321
8,all,1516,1064,452,100,97,class_equal,0.6818986441085175,0.981766486663394,0.4456630713159867,0.48831615120274907
8,tail20,73,50,23,20,19,token_equal,0.684931506849315,1.0,0.9228434549687087,0.8713333333333334
8,tail20,73,50,23,20,19,class_equal,0.685,1.0,0.9253294407413886,0.8771929824561404
8,non_tail80,1443,1014,429,80,78,token_equal,0.7027027027027027,0.9930966469428008,0.27718673350700845,0.33793556870479946
8,non_tail80,1443,1014,429,80,78,class_equal,0.681123305135647,0.9773249898249898,0.32882126337902995,0.39358974358974363
