method,partition,class_id,last20_accuracy
E0,noniid-labeldir-fine,7,66.50000000
E0,noniid-labeldir-fine,8,85.85000000
E0,noniid-labeldir-fine,9,90.00000000
E0,noniid-labeldir-fine,10,52.45000000
E0,noniid-labeldir-fine,11,76.00000000
E0,noniid-labeldir-fine,12,83.80000000
E0,noniid-labeldir-fine,13,77.35000000
E0,noniid-labeldir-fine,14,69.55000000
E0,noniid-labeldir-fine,15,85.00000000
E0,noniid-labeldir-fine,16,87.00000000
E0,noniid-labeldir-fine,17,83.60000000
E0,noniid-labeldir-fine,18,47.35000000
E0,noniid-labeldir-fine,19,82.00000000
E0,noniid-labeldir-fine,20,96.45000000
E0,noniid-labeldir-fine,21,87.70000000
E0,noniid-labeldir-fine,22,83.00000000
E0,noniid-labeldir-fine,23,78.00000000
E0,noniid-labeldir-fine,24,64.00000000
E0,noniid-labeldir-fine,25,59.50000000
E0,noniid-labeldir-fine,26,63.15000000
E0,noniid-labeldir-fine,27,43.65000000
E0,noniid-labeldir-fine,28,56.70000000
E0,noniid-labeldir-fine,29,72.00000000
E0,noniid-labeldir-fine,30,57.00000000
E0,noniid-labeldir-fine,31,79.00000000
E0,noniid-labeldir-fine,32,41.50000000
E0,noniid-labeldir-fine,33,52.25000000
E0,noniid-labeldir-fine,34,78.00000000
E0,noniid-labeldir-fine,35,59.00000000
E0,noniid-labeldir-fine,36,74.00000000
E0,noniid-labeldir-fine,37,91.00000000
E0,noniid-labeldir-fine,38,66.00000000
E0,noniid-labeldir-fine,39,86.60000000
E0,noniid-labeldir-fine,40,70.35000000
E0,noniid-labeldir-fine,41,89.00000000
E0,noniid-labeldir-fine,42,10.30000000
E0,noniid-labeldir-fine,43,79.00000000
E0,noniid-labeldir-fine,44,51.05000000
E0,noniid-labeldir-fine,45,23.00000000
E0,noniid-labeldir-fine,46,65.45000000
E0,noniid-labeldir-fine,47,42.65000000
E0,noniid-labeldir-fine,48,92.00000000
E0,noniid-labeldir-fine,49,90.00000000
E0,noniid-labeldir-fine,50,22.00000000
E0,noniid-labeldir-fine,51,71.00000000
E0,noniid-labeldir-fine,52,60.75000000
E0,noniid-labeldir-fine,53,98.00000000
E0,noniid-labeldir-fine,54,80.75000000
E0,noniid-labeldir-fine,55,26.35000000
E0,noniid-labeldir-fine,56,86.25000000
E0,noniid-labeldir-fine,57,70.65000000
E0,noniid-labeldir-fine,58,92.00000000
E0,noniid-labeldir-fine,59,69.20000000
E0,noniid-labeldir-fine,60,72.00000000
E0,noniid-labeldir-fine,61,58.55000000
E0,noniid-labeldir-fine,62,72.00000000
E0,noniid-labeldir-fine,63,12.70000000
E0,noniid-labeldir-fine,64,41.15000000
E0,noniid-labeldir-fine,65,72.00000000
E0,noniid-labeldir-fine,66,54.70000000
E0,noniid-labeldir-fine,67,15.95000000
E0,noniid-labeldir-fine,68,96.00000000
E0,noniid-labeldir-fine,69,85.00000000
E0,noniid-labeldir-fine,70,73.00000000
E0,noniid-labeldir-fine,71,82.00000000
E0,noniid-labeldir-fine,72,42.05000000
E0,noniid-labeldir-fine,73,67.00000000
E0,noniid-labeldir-fine,74,29.70000000
E0,noniid-labeldir-fine,75,58.75000000
